URL,Last crawled
https://www.petplace.com/article/cats/pet-health/urinary-obstruction-in-cats/3,2023-10-21
https://www.petplace.com/can-eating-too-much-cause-diarrhea-in-dogs-2/,2023-10-21
https://www.petplace.com/p/purina-beggin-strips-training-treats-bacon-cheese-flavors-dog-treats/-/A-52840711,2023-10-21
https://www.petplace.com/article/dogs/pet-health/abscess-in-dogs/This,2023-10-21
"https://www.petplace.com/cats/perinephric-pseudocysts/page1.aspx?utm_source=petplace&utm_medium=internal&utm_content=ai005576-Perinephric 
Pseudocysts&utm_campaign=article_cross_linking_old",2023-10-21
https://www.petplace.com/why-is-cat-licking-lips/,2023-10-21
https://www.petplace.com/how-to-make-cat-hair-grow-back-faster/,2023-10-21
https://www.petplace.com/do-dogs-always-land-on-their-feet/,2023-10-21
https://www.petplace.com/customer.service@sunshinemills.com,2023-10-21
https://www.petplace.com/lidocaine-patch-long-term-use,2023-10-21
https://www.petplace.com/kidsquotes@petplace.com,2023-10-21
https://www.petplace.com/article/dogs/dr-debras-faqs-and-posts/ask-dr-debra-common-questions/my-dog-was-spayed-but-is-now-spotting-blood-–-is-she-okay,2023-10-21
https://www.petplace.com/blog/wound-healing-stages-how-to-tell-if-a-wound-is-healing-infected-or-chronic/,2023-10-21
https://www.petplace.com/article/drug-library/drug-library/library/famotidine-pepcid-for-dogs-and-cats/30,2023-10-21
https://www.petplace.com/article/drug-library/drug-library/library/atropine-for-dogs-andcats/,2023-10-21
https://www.petplace.com/article/cats/pet-health/fever-in-cats/Blessings!,2023-10-21
https://www.petplace.com/article/dogs/keeping-your-dog-healthy/food-recalls/pig-ears-dog-treats-recall-because-of-potential-salmonella-contamination,2023-10-21
https://www.petplace.com/articles/portosystemic-shunt-in-dogs-causes-signs-treatments/,2023-10-21
https://www.petplace.com/article/cats/dr-debras-faqs-and-posts/dr-debras-posts/what-do-i-do-about-my-cat-that-is-limping-with-a-swollen-leg,2023-10-21
https://www.petplace.com/dogs/dental-prophylaxis-for-dogs/page1.aspx?utm_source=dogcrazynews002a&utm_medium=email&utm_content=petplace_article&utm_campaign=petplace,2023-10-21
https://www.petplace.com/dog-wont-eat-dog-food-only-human-food/,2023-10-21
https://www.petplace.com/article/dogs/just-for-fun/15-corgi-,2023-10-21
https://www.petplace.com/biopsy-in-cats/,2023-10-21
https://www.petplace.com/article/dogs/pet-behavior-training/fear-at-the-vets-office-using-low-stress-handling-for-dogs/2/,2023-10-21
https://www.petplace.com/emergency/activated-charcoal-dogs-cats,2023-10-21
https://www.petplace.com/health/pregnancy/cramps,2023-10-21
https://www.petplace.com/threads/faq-6-9-or-12-month-old-dog-jumping-up-and-biting,2023-10-21
https://www.petplace.com/learn/dog-lifestyle/puppy-head-tilts-what-are-they-and-why-do-dogs-do,2023-10-21
https://www.petplace.com/article/cats/diseases-conditions-of-cats/symptoms/optic-neuritis-in-cats,2023-10-21
https://www.petplace.com/dogs/rodenticide-poisoning-in-dogs/page1.aspx?url=rodenticide-poisoning-in-dogs&p=1,2023-10-21
https://www.petplace.com/article/reptiles/general/reptile-health-knowing-what-is-normal/2/,2023-10-21
https://www.petplace.com/article/drug-library/library/over-the-counter/s-adenosylmethionine-same,2023-10-21
https://www.petplace.com/article/birds/general/choosing-a-yellow-naped-amazon/2/,2023-10-21
https://www.petplace.com/article/cats/pet-behavior-training/what-indoor-cats-need-to-be-happy/2/,2023-10-21
https://www.petplace.com/article/drug-library/drug-library/library/amoxicillin-clavulanate-clavamox-augmentin-for-dogs-and-cats/2/,2023-10-21
https://www.petplace.com/cat-health/cat-vomiting/,2023-10-21
https://www.petplace.com/article/dogs/pet-health/acute-cystitis-bladder-infection-or-urinary-tract-infection-in-dogs/2,2023-10-21
https://www.petplace.com/article/dogs/pet-health/homemade-dog-food-recipe-for-overweight-dogs/,2023-10-21
https://www.petplace.com/article/dogs/just-for-fun/meet-casey-jones/,2023-10-21
https://www.petplace.com/cat-care/resources/getting-rid-of-cat-odors,2023-10-21
https://www.petplace.com/dog-breeds/how-much-should-you-charge-to-rehome-a-dog,2023-10-21
https://www.petplace.com/runny-eyes-on-cats,2023-10-21
https://www.petplace.com/article/cats/dr-debra's-faq's-and-posts/dr-debra's-posts/when-do-amoxi-drops-expire,2023-10-21
https://www.petplace.com/article/cats/behavior-training/training-your-cat/the-guide-to-training-your-cat?platform=hootsuite,2023-10-21
